"POOL","NAME","BYTES"
"","buffer_cache",4043309056
"shared pool","free memory",516894336
"","shared_io_pool",134217728
"shared pool","SQLA",38909264
"shared pool","ksunfy_meta 1",26245248
"shared pool","SO private sga",24636376
"shared pool","KGLH0",20414376
"shared pool","db_block_hash_buckets",16781312
"shared pool","ASH buffers",16777216
"large pool","free memory",16449536
"shared pool","write state object",14263584
"shared pool","file state object",10462704
"shared pool","session",10052544
"shared pool","KGLS",9641992
"","fixed_sga",9038960
"shared pool","row cache mutex",9019032
"shared pool","KTI-UNDO",8424000
"","log_buffer",7737344
"shared pool","private strands",7630848
"shared pool","ksipc state object",7117920
"shared pool","VIRTUAL CIRCUITS",6440448
"shared pool","row cache hash",6012688
"shared pool","KGLHD",5420896
"shared pool","KQR X PO",5419016
"shared pool","KSRMA State Object",5341280
"shared pool","KGLSG",5260816
"shared pool","PLMCD",5206408
"shared pool","obj stats allocation chun",5160960
"shared pool","dbwriter coalesce buffer",4198400
"shared pool","KCB Table Scan Buffer",4198400
"shared pool","kglsim hash table bkts",4194304
"shared pool","object queue hash buckets",4194304
"shared pool","KSFD SGA I/O b",4190368
"shared pool","PLDIA",3667288
"shared pool","procs: ksunfy",3548160
"shared pool","transaction",3230832
"shared pool","buffer handle",3072000
"shared pool","message pool freequeue",3051744
"shared pool","row cache mutex versions",3006344
"shared pool","enqueue",2383440
"shared pool","KQR X SO",2118216
"shared pool","KKSSP",2060448
"shared pool","imc buf hdl",2031568
"shared pool","parameter table block",1986152
"shared pool","KGLDA",1970224
"shared pool","groups_kfgbsg",1818624
"shared pool","KSK VT POOL",1701304
"shared pool","db_block_hash_latches",1638400
"shared pool","kghrcx batch",1552384
"shared pool","DML lock",1465728
"shared pool","ksdhng: els blkrs cache",1416960
"shared pool","ksfd SGA I/O outlier",1328000
"shared pool","sys event stats",1227520
"shared pool","dbktb: trace buffer",1196032
"shared pool","ksu:stats_freelist",1106000
"shared pool","simulator hash buckets",1081344
"shared pool","IM extent map",1049064
"shared pool","Inmemory extension anchor",1048608
"shared pool","KSRMA Allocated Rlogs",1048576
"shared pool","KSRMA Free Rlogs",1048576
"shared pool","SWRF Metric CHBs",1014944
"shared pool","SYSTEM PARAMETERS",1006688
"shared pool","db_files",970112
"shared pool","simulator latch/bucket st",950272
"shared pool","Block List",805376
"shared pool","prmtzdini tz region",801416
"shared pool","ksfs stat structs",794112
"shared pool","KEWS sesstat values",779328
"shared pool","enqueue resources",775920
"shared pool","kcbi io desc slot",770048
"shared pool","KTSL subheap",699296
"shared pool","klcslo",681960
"shared pool","SQLP",675464
"shared pool","Space Background Task Des",655360
"shared pool","lock state hash table",647680
"shared pool","LRMPD SGA Table",604576
"shared pool","logwriteds",590720
"shared pool","modification hash table c",589824
"shared pool","KXDBIO state obj",587688
"shared pool","krdrsb read violation arr",560000
"shared pool","KOKTD",558600
"shared pool","615.kggec",549280
"shared pool","txn jrnl",549032
"shared pool","FileIdentificatonBlock",542104
"shared pool","SpaceReuse Stats",526640
"shared pool","KGNFS scontext",525920
"shared pool","ktsimaCtx",524448
"shared pool","file queue buckets",524288
"shared pool","ksv slave class",519912
"shared pool","parameter handle",507472
"shared pool","max allowable # log files",506400
"shared pool","dbgefgHtAddSK-1",482264
"shared pool","KGLA",468640
"shared pool","ksns_obj",467480
"shared pool","alter system errs: kspnfy",466944
"shared pool","KSK OSS PLAN ENTRIES",409904
"shared pool","parameter string values",396792
"shared pool","ksfs mnt structs",360960
"shared pool","SWRF Metric Eidbuf",359400
"shared pool","kglsim object batch",355488
"shared pool","branch",353056
"shared pool","Temporary Tables State Ob",342968
"shared pool","kfklsodtab",339824
"shared pool","KSRMA anchor",339720
"shared pool","resize request state obje",339200
"shared pool","NETWORK BUFFER",333320
"shared pool","pso tbs: ksunfy",332800
"shared pool","KSKQ SGA",332144
"large pool","PX msg pool",327680
"shared pool","latch where stats",310784
"shared pool","KSK PDB SGA stats",299008
"shared pool","kglsim heap",297600
"shared pool","channel handle",294880
"shared pool","ksdhng: el wtr cache",283392
"shared pool","work area table entry",265856
"shared pool","FileOpenConsolidatedBlock",265488
"shared pool","KESTB existence bitvec",262144
"shared pool","dirty object counts array",262144
"shared pool","change tracking recovery ",262144
"shared pool","object temp hash buckets",262144
"shared pool","kxfpdp pointers",262136
"shared pool","TXN TABLE SEGMENTED ARRAY",251920
"shared pool","kjcipctx SO freelist",250880
"shared pool","ksuloi: long op statistic",249856
"shared pool","constraints",246360
"shared pool","ufgtab_kfmdsg",244176
"shared pool","dgtab_kfmdsg",244176
"shared pool","KGSK scheduler",234888
"shared pool","object queue header free ",233856
"shared pool","undo temp",232592
"shared pool","HM Wt Evt Stats Array",230280
"shared pool","UNDO INFO SEGMENTED ARRAY",228952
"shared pool","BRANCH TABLE SEGMENTED AR",226192
"shared pool","IM segment hash table glo",221432
"shared pool","IM segment hash table",221432
"shared pool","KYWM RPLY CROSS INSTANCE",212992
"shared pool","MGA service",208784
"shared pool","allocate segment hash tab",204800
"shared pool","SEQ S.O.",196800
"shared pool","ksipc_hashs",196424
"shared pool","txncallback",194128
"shared pool","KGX",190584
"shared pool","object temp hash table la",188416
"shared pool","Kernel Component SGA I/O ",186000
"shared pool","HM Lcl Sess Info",173656
"shared pool","6160.kgght",167160
"shared pool","6162.kgght",167160
"shared pool","6161.kgght",167160
"shared pool","Global dictionary read-wr",163840
"shared pool","messages",163840
"shared pool","Global dictionary parent ",163840
"shared pool","ktimextht latches",163840
"shared pool","kmgsb circular statistics",162560
"shared pool","per_pg_set_descriptor_arr",160704
"shared pool","ASM connection state",155312
"shared pool","Nettimeout Histogram",151280
"shared pool","Inmemory xmem 64KB anchor",147640
"shared pool","Inmemory xmem 1MB anchor",147640
"shared pool","Inmemory 64KB anchor",147640
"shared pool","Inmemory 1MB anchor",147640
"shared pool","ltxid: ltxid context",141696
"shared pool","kghx free lists",136368
"shared pool","L2 file map array",134160
"shared pool","ksns pdb hdl tab",131136
"shared pool","kglsim timestamps",131072
"shared pool","KSIPC ASPC Instance Addre",131072
"shared pool","kglsim Java timestamps",131072
"shared pool","kglsim per-gran bkt",129600
"shared pool","kglsim Java per-gran bkt",129600
"shared pool","ksp master psta",129528
"shared pool","call",127112
"shared pool","kebm test replies",122880
"shared pool","External table user state",116136
"shared pool","event descriptor table",107616
"shared pool","KCB cacherm",106576
"shared pool","RTA boundary array",105600
"shared pool","KGSK sga",104624
"shared pool","KLCS",103648
"shared pool","KFK idtab_kfksga",101288
"shared pool","network connections",100080
"shared pool","PRTMV",98544
"shared pool","dbktb: trace pool",97280
"shared pool","enqueue_hash",96144
"shared pool","locator state object",94536
"shared pool","process group array",91792
"shared pool","ksim cached group entry l",90112
"shared pool","ASM rcl group",87464
"shared pool","PRTDS",86448
"shared pool","osp allocation",84672
"shared pool","ksmtimcronsg",83968
"shared pool","ksmtimcrwnsg",83968
"shared pool","ksbxic obj",83632
"shared pool","KCB where statistics arra",81984
"shared pool","kgnfs stats array",81960
"shared pool","AQ Message cache driver s",81440
"shared pool","kghrcx RO batches",81120
"shared pool","dummy",80776
"shared pool","ksfd: components i/o stat",80640
"shared pool","HM SGA context",78816
"shared pool","dsktab_kfgsg",78248
"shared pool","sga latch where stats",77888
"shared pool","pid",77856
"shared pool","KTC latch subh",75040
"shared pool","KTG hash buckets",74784
"shared pool","KFD extent enqueue obj",73128
"shared pool","KSI ENQUEUES",72416
"shared pool","trace events array",72000
"shared pool","V$DATAGUARD_STATUS array",71680
"shared pool","ksgl handle",67616
"shared pool","ksipc shared nothing stat",67616
"shared pool","ksws service events",67584
"shared pool","KSKQ SGA:kskqlmspld",66728
"shared pool","ksuprcwt",66560
"shared pool","ksuprlwt",66560
"shared pool","channel context areas",66432
"shared pool","KTSJ state object",65600
"shared pool","write info array",65536
"shared pool","current pin time statisti",65536
"shared pool","ktimextht recovery area",65536
"shared pool","qmps connections",65280
"shared pool","post/wait queues",64128
"shared pool","Saved job ids",64000
"shared pool","AQ Propagation Scheduling",64000
"shared pool","Managed Standby Process A",63488
"shared pool","latch descriptor state",62912
"shared pool","sys event stats for Other",61376
"shared pool","UNDO STAT INFO",59904
"shared pool","time-based incremental me",57616
"shared pool","KSIPC ASPC State Object",57376
"shared pool","ksgl SSO",57376
"shared pool","AQ: Master/Slave state ob",55440
"shared pool","object queue header hash ",55296
"shared pool","PLS SGA hp",53160
"shared pool","sctx",51648
"shared pool","buffer handles",51224
"shared pool","dbkea msg body",51200
"shared pool","iosts_kfmdsg",51200
"shared pool","dbke_incid_cache_init",51200
"shared pool","KCN hash latches",51200
"shared pool","imc-txn-wrk",50160
"shared pool","IMC extent map",50088
"shared pool","hash bucket array allocat",49152
"shared pool","ksdhng: fblkrs cache",47872
"shared pool","ksusessnetstat",47616
"shared pool","DTP proc structure alloc",47464
"shared pool","AQ: Non Durable Sub state",47232
"shared pool","instance cnxn information",47232
"shared pool","kswl ctxt",47136
"shared pool","kqf runtime defined table",47136
"shared pool","KSK scheduler ",45496
"shared pool","ksbcwt",45448
"shared pool","KTFBN SGA",45104
"shared pool","parameter blocks",43176
"shared pool","reset parameter blocks",43176
"shared pool","java static objs",43056
"shared pool","LGWR per strand PIC array",42240
"shared pool","kswl sctxt",42016
"shared pool","TEMP UNDO STAT INFO",41472
"shared pool","ksasga.ksasgmsgqst",40960
"shared pool","KTMC hash latches",40960
"shared pool","KTMB CR Buf latches",40960
"shared pool","KTMCsrchlatches",40960
"shared pool","KTMSJ latches",40960
"shared pool","zafwctx",40608
"shared pool","ENQUEUE STATS",40392
"shared pool","kgnfs chtab",40296
"shared pool","file # translation table",40064
